[2026-03-12 21:04:04,991: INFO: main: Hello World]
[2026-03-15 23:08:31,442: INFO: main: Hello World]
[2026-03-15 23:14:29,467: INFO: main: Hello World]
[2026-03-15 23:15:09,961: INFO: main: Dataset created successfully]
[2026-03-15 23:16:04,355: INFO: main: Hello World]
[2026-03-15 23:38:28,133: INFO: main: Hello World]
[2026-03-15 23:39:36,131: INFO: main: Hello World]
[2026-03-15 23:44:18,416: INFO: main: Starting dataset collection]
[2026-03-15 23:44:49,990: INFO: main: Accepted dataset created successfully]
[2026-03-15 23:46:40,893: INFO: main: Starting dataset collection]
[2026-03-15 23:46:42,248: INFO: main: Accepted dataset created successfully]
[2026-03-15 23:49:57,985: INFO: main: Starting curated dataset collection]
[2026-03-15 23:49:59,635: INFO: main: Curated dataset created successfully]
[2026-03-16 00:15:47,106: INFO: common: yaml_path: config/config.yaml loaded successfully]
[2026-03-16 00:15:47,108: INFO: common: created directory at: artifacts]
[2026-03-16 00:15:47,110: INFO: common: created directory at: artifacts/data_ingestion]
[2026-03-16 00:24:15,823: INFO: common: yaml_path: config/config.yaml loaded successfully]
[2026-03-16 00:24:15,825: INFO: common: created directory at: artifacts]
[2026-03-16 00:24:15,826: INFO: common: created directory at: artifacts/data_ingestion]
[2026-03-16 00:29:08,088: INFO: common: yaml_path: config/config.yaml loaded successfully]
[2026-03-16 00:29:08,089: INFO: common: created directory at: artifacts]
[2026-03-16 00:29:08,090: INFO: common: created directory at: artifacts/data_ingestion]
[2026-03-16 00:29:08,091: INFO: 1975593602: Starting curated dataset collection]
[2026-03-16 00:30:15,549: INFO: common: yaml_path: config/config.yaml loaded successfully]
[2026-03-16 00:30:15,552: INFO: common: created directory at: artifacts]
[2026-03-16 00:30:15,552: INFO: common: created directory at: artifacts/data_ingestion]
[2026-03-16 00:30:15,553: INFO: 3452784490: Starting downloading dataset]
[2026-03-16 00:32:12,166: INFO: common: yaml_path: config/config.yaml loaded successfully]
[2026-03-16 00:32:12,168: INFO: common: created directory at: artifacts]
[2026-03-16 00:32:12,169: INFO: common: created directory at: artifacts/data_ingestion]
[2026-03-16 00:32:12,169: INFO: 2964407919: Starting downloading dataset]
[2026-03-16 00:32:14,677: INFO: 2964407919: Curated dataset size: 1214]
[2026-03-16 00:32:14,682: INFO: 2964407919: 
tier
Poster       622
Spotlight    379
Oral         213
Name: count, dtype: int64]
[2026-03-16 00:32:14,757: INFO: 2964407919: Curated dataset created successfully at: artifacts/data_ingestion/data.csv]
[2026-03-16 00:35:07,888: INFO: common: yaml_path: config/config.yaml loaded successfully]
[2026-03-16 00:35:07,889: INFO: common: created directory at: artifacts]
[2026-03-16 00:35:07,890: INFO: common: created directory at: artifacts/data_ingestion]
[2026-03-16 00:35:07,890: INFO: 405635955: Starting downloading dataset]
[2026-03-16 00:35:25,987: INFO: common: yaml_path: config/config.yaml loaded successfully]
[2026-03-16 00:35:25,988: INFO: common: created directory at: artifacts]
[2026-03-16 00:35:25,989: INFO: common: created directory at: artifacts/data_ingestion]
[2026-03-16 00:35:25,990: INFO: 405635955: Starting downloading dataset]
[2026-03-16 00:36:24,635: INFO: common: yaml_path: config/config.yaml loaded successfully]
[2026-03-16 00:36:24,637: INFO: common: created directory at: artifacts]
[2026-03-16 00:36:24,637: INFO: common: created directory at: artifacts/data_ingestion]
[2026-03-16 00:36:24,638: INFO: 1050980469: Starting downloading dataset]
[2026-03-16 00:36:45,666: INFO: common: yaml_path: config/config.yaml loaded successfully]
